MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
715,186,130,29,9,18,0
716,187,131,29,9,17,1
717,187,132,29,9,17,0
718,187,132,28,10,17,0
719,187,131,29,10,17,0
720,187,129,31,9,18,0
721,187,127,33,9,18,0
722,187,126,34,9,18,0
723,188,128,31,10,18,1
724,188,128,33,8,19,0
725,188,128,31,10,19,0
726,188,128,30,11,19,0
727,188,128,31,11,18,0
728,188,129,31,11,17,0
729,188,128,32,11,17,0
730,188,128,32,11,17,0
731,189,130,32,9,17,1
732,189,131,31,10,17,0
733,189,131,28,12,18,0
734,189,130,28,13,18,0
735,189,130,29,13,17,0
736,189,130,29,13,17,0
737,189,131,29,12,17,0
738,191,131,29,12,17,2
739,191,134,29,11,17,0
740,191,134,30,10,17,0
741,191,136,30,9,16,0
742,191,135,31,9,16,0
743,192,134,32,9,16,1
744,192,133,33,9,17,0
745,192,132,33,10,17,0
746,192,133,32,11,16,0
747,192,133,31,11,17,0
748,192,135,30,11,16,0
749,192,135,30,11,16,0
750,193,136,30,10,16,1
751,194,137,31,9,16,1
752,194,141,31,7,15,0
753,194,141,31,7,15,0
754,194,141,30,7,16,0
755,194,140,30,7,17,0
756,194,139,31,7,17,0
757,194,141,31,6,16,0
758,195,141,30,6,17,1
759,195,140,30,6,19,0
760,195,141,31,4,19,0
761,195,140,32,4,19,0
762,196,138,33,5,19,1
763,196,138,32,6,20,0
764,196,138,33,5,20,0
765,196,138,31,7,20,0
766,196,140,29,7,20,0
767,196,139,26,10,21,0
768,197,139,25,11,21,1
769,197,140,25,10,22,0
770,197,140,25,10,22,0
771,197,140,25,11,21,0
772,197,140,24,12,21,0
773,197,140,23,13,21,0
774,197,139,23,13,22,0
775,197,139,23,12,23,0
776,197,137,24,13,23,0
777,197,138,23,14,22,0
778,197,138,23,14,22,0
779,198,138,23,14,22,1
780,198,139,22,15,22,0
781,199,140,20,16,22,1
782,199,139,24,15,21,0
783,199,138,24,15,22,0
784,199,141,24,12,22,0
785,199,142,25,11,21,0
786,199,143,25,10,21,0
787,199,142,26,10,21,0
788,199,143,25,9,22,0
789,199,143,25,8,23,0
790,200,141,25,8,25,1
791,200,140,26,9,25,0
792,200,139,25,11,25,0
793,200,137,27,11,25,0
794,200,138,27,10,25,0
795,200,136,28,11,25,0
796,200,136,28,11,25,0
797,201,136,29,11,24,1
798,201,137,29,12,23,0
799,201,135,28,15,23,0
800,201,139,28,11,23,0
801,201,138,28,11,24,0
802,201,137,29,11,24,0
803,201,138,28,12,23,0
804,202,137,29,12,23,1
805,202,137,29,12,24,0
806,202,136,29,13,24,0
807,202,136,29,13,24,0
808,202,136,27,15,24,0
809,202,135,27,16,24,0
810,202,135,26,17,24,0
811,202,137,25,16,24,0
812,203,138,25,15,24,1
813,203,140,26,15,22,0
814,203,141,26,14,22,0
815,203,141,24,16,22,0
816,203,140,26,16,21,0
817,203,141,26,14,22,0
818,204,140,27,14,22,1
819,205,142,27,13,22,1
820,206,145,27,11,22,1
821,206,146,26,12,22,0
822,206,145,27,12,22,0
823,206,147,26,12,21,0
824,207,148,26,12,20,1
825,207,151,25,11,20,0
826,207,148,27,12,20,0
827,207,146,29,12,20,0
828,207,147,27,13,20,0
829,208,150,26,12,19,1
830,208,152,27,11,18,0
831,208,153,27,10,18,0
832,209,153,27,10,18,1
833,209,153,27,10,19,0
834,211,154,28,9,18,2
835,211,156,28,9,18,0
836,211,154,30,9,18,0
837,211,155,30,8,18,0
838,214,155,29,9,18,3
839,214,158,30,8,18,0
840,214,156,31,8,19,0
841,214,156,31,8,19,0
842,215,157,30,8,19,1
843,215,158,30,8,19,0
844,215,157,30,9,19,0
845,215,155,30,10,20,0
846,215,153,31,10,21,0
847,215,153,31,10,21,0
848,215,151,32,10,22,0
849,215,151,31,11,22,0
850,215,152,31,10,22,0
851,215,152,32,10,21,0
852,215,154,30,10,21,0
853,215,153,31,10,21,0
854,215,153,30,11,21,0
855,216,151,30,12,22,1
856,217,152,30,12,22,1
857,217,151,31,12,23,0
858,217,148,32,13,24,0
859,217,146,32,14,25,0
860,217,147,32,14,24,0
861,217,146,33,14,24,0
862,218,146,33,14,24,1
863,219,147,32,15,24,1
864,219,146,34,15,24,0
865,219,147,36,14,22,0
866,219,148,35,14,22,0
867,219,148,35,13,23,0
868,219,149,35,13,22,0
869,219,150,37,12,20,0
870,219,152,36,11,20,0
871,220,150,37,12,20,1
